026-01-25 20:42:46,649 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:55:56,211 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:55:56,212 - main - INFO - Last date found in futures file for M&M: 2026-01-02
2026-01-25 20:55:56,212 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-03 to 2026-01-25
2026-01-25 20:55:56,212 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-03 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:55:56,213 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:55:56,528 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 400
2026-01-25 20:55:56,530 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:55:56,806 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-03&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 359
2026-01-25 20:55:56,812 - data.fetch_futures_oi - DEBUG - Returning 14 historical OI records
2026-01-25 20:55:56,812 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:55:56,817 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:55:56,817 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:55:56,817 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:55:56,817 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:55:56,832 - main - INFO - Last date found in futures file for M&M: 2026-01-05
2026-01-25 20:55:56,833 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-06 to 2026-01-25
2026-01-25 20:55:56,833 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-06 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:55:56,833 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:55:57,136 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-06&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 379
2026-01-25 20:55:57,138 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:55:57,443 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-06&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 341
2026-01-25 20:55:57,446 - data.fetch_futures_oi - DEBUG - Returning 13 historical OI records
2026-01-25 20:55:57,448 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:56:17,910 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:56:17,911 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:56:17,911 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:56:17,911 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:56:17,920 - main - INFO - Last date found in futures file for M&M: 2026-01-06
2026-01-25 20:56:17,920 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-07 to 2026-01-25
2026-01-25 20:56:17,920 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-07 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:56:17,921 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:56:18,235 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-07&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 357
2026-01-25 20:56:18,241 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:56:18,533 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-07&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 321
2026-01-25 20:56:18,545 - data.fetch_futures_oi - DEBUG - Returning 12 historical OI records
2026-01-25 20:56:18,547 - data.storage - INFO - Saving data to NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:56:18,553 - data.fyers_client - INFO - Initializing Fyers client...
2026-01-25 20:56:18,553 - data.fyers_client - INFO - TODO: Using hardcoded access token. This is not recommended for production.
2026-01-25 20:56:18,554 - data.fyers_client - DEBUG - Fyers client initialized successfully.
2026-01-25 20:56:18,554 - data.storage - INFO - Loading data from NSE_M&M_26JAN_FUT.csv in storage/futures/26JAN
2026-01-25 20:56:18,563 - main - INFO - Last date found in futures file for M&M: 2026-01-07
2026-01-25 20:56:18,563 - main - DEBUG - Futures file found for M&M, fetching new data from 2026-01-08 to 2026-01-25
2026-01-25 20:56:18,563 - data.fetch_futures_oi - INFO - Fetching historical futures OI for NSE:M&M (26JAN) from 2026-01-08 to 2026-01-25 with CandleResolution.DAY_1 resolution
2026-01-25 20:56:18,564 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:56:18,862 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M26JANFUT&resolution=1D&date_format=1&range_from=2026-01-08&range_to=2026-01-25&cont_flag=1&oi_flag=1 HTTP/1.1" 200 337
2026-01-25 20:56:18,865 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): api-t1.fyers.in:443
2026-01-25 20:56:19,165 - urllib3.connectionpool - DEBUG - https://api-t1.fyers.in:443 "GET /data/history?symbol=NSE%3AM%26M-EQ&resolution=1D&date_format=1&range_from=2026-01-08&range_to=2026-01-25&cont_flag=1 HTTP/1.1" 200 302
2026-01-25 20:56:19,167 - data.fetch_futures_oi - DEBUG - Returning 11 historical OI records
